data_registro;cidade;confirmados;suspeitos;obitos
20-01-2020;Francisco Beltrão;106;138;2
21-01-2020;Francisco Beltrão;96;118;3
22-01-2020;Francisco Beltrão;81;120;2
23-01-2020;Francisco Beltrão;157;227;2
24-01-2020;Francisco Beltrão;94;140;3
25-01-2020;Francisco Beltrão;173;253;2
26-01-2020;Francisco Beltrão;62;94;1
27-01-2020;Francisco Beltrão;99;143;3
28-01-2020;Francisco Beltrão;52;69;1
29-01-2020;Francisco Beltrão;103;152;1
30-01-2020;Francisco Beltrão;118;177;3
31-01-2020;Francisco Beltrão;58;93;1
01-02-2020;Francisco Beltrão;154;208;3
02-02-2020;Francisco Beltrão;83;133;1
03-02-2020;Francisco Beltrão;96;139;2
04-02-2020;Francisco Beltrão;143;222;4
05-02-2020;Francisco Beltrão;129;203;2
06-02-2020;Francisco Beltrão;164;275;4
07-02-2020;Francisco Beltrão;175;250;5
08-02-2020;Francisco Beltrão;182;222;4
09-02-2020;Francisco Beltrão;91;125;2
10-02-2020;Francisco Beltrão;119;159;2
11-02-2020;Francisco Beltrão;102;149;3
12-02-2020;Francisco Beltrão;119;149;2
13-02-2020;Francisco Beltrão;55;82;1
14-02-2020;Francisco Beltrão;111;188;2
15-02-2020;Francisco Beltrão;151;211;4
16-02-2020;Francisco Beltrão;70;106;2
17-02-2020;Francisco Beltrão;88;139;2
18-02-2020;Francisco Beltrão;148;216;3
19-02-2020;Francisco Beltrão;50;63;1
20-02-2020;Francisco Beltrão;158;242;2
21-02-2020;Francisco Beltrão;111;169;2
22-02-2020;Francisco Beltrão;148;186;3
23-02-2020;Francisco Beltrão;182;243;3
24-02-2020;Francisco Beltrão;127;165;2
25-02-2020;Francisco Beltrão;139;182;3
26-02-2020;Francisco Beltrão;154;218;4
27-02-2020;Francisco Beltrão;149;196;4
28-02-2020;Francisco Beltrão;131;175;3
29-02-2020;Francisco Beltrão;76;124;1
01-03-2020;Francisco Beltrão;48;72;1
02-03-2020;Francisco Beltrão;66;98;2
03-03-2020;Francisco Beltrão;46;66;1
04-03-2020;Francisco Beltrão;67;87;2
05-03-2020;Francisco Beltrão;127;157;3
06-03-2020;Francisco Beltrão;142;212;4
07-03-2020;Francisco Beltrão;52;78;2
08-03-2020;Francisco Beltrão;117;173;2
09-03-2020;Francisco Beltrão;89;134;1
10-03-2020;Francisco Beltrão;176;290;5
11-03-2020;Francisco Beltrão;144;202;2
12-03-2020;Francisco Beltrão;161;255;3
13-03-2020;Francisco Beltrão;107;161;2
14-03-2020;Francisco Beltrão;181;219;2
15-03-2020;Francisco Beltrão;126;162;3
16-03-2020;Francisco Beltrão;107;175;1
17-03-2020;Francisco Beltrão;181;287;3
18-03-2020;Francisco Beltrão;92;118;1
19-03-2020;Francisco Beltrão;112;171;1
20-03-2020;Francisco Beltrão;61;89;1
21-03-2020;Francisco Beltrão;145;201;4
22-03-2020;Francisco Beltrão;148;190;3
23-03-2020;Francisco Beltrão;151;199;4
24-03-2020;Francisco Beltrão;82;101;2
25-03-2020;Francisco Beltrão;56;89;1
26-03-2020;Francisco Beltrão;108;131;1
27-03-2020;Francisco Beltrão;81;99;1
28-03-2020;Francisco Beltrão;130;219;2
29-03-2020;Francisco Beltrão;153;200;2
30-03-2020;Francisco Beltrão;112;173;1
31-03-2020;Francisco Beltrão;114;144;2
01-04-2020;Francisco Beltrão;88;132;2
02-04-2020;Francisco Beltrão;154;223;2
03-04-2020;Francisco Beltrão;53;66;1
04-04-2020;Francisco Beltrão;52;65;1
05-04-2020;Francisco Beltrão;58;86;1
06-04-2020;Francisco Beltrão;164;272;4
07-04-2020;Francisco Beltrão;179;239;3
08-04-2020;Francisco Beltrão;86;113;2
09-04-2020;Francisco Beltrão;132;192;1
10-04-2020;Francisco Beltrão;110;177;2
11-04-2020;Francisco Beltrão;148;210;4
12-04-2020;Francisco Beltrão;172;269;5
13-04-2020;Francisco Beltrão;72;103;1
14-04-2020;Francisco Beltrão;114;181;2
15-04-2020;Francisco Beltrão;140;221;4
16-04-2020;Francisco Beltrão;95;127;1
17-04-2020;Francisco Beltrão;61;92;2
18-04-2020;Francisco Beltrão;94;134;1
19-04-2020;Francisco Beltrão;56;94;2
20-04-2020;Francisco Beltrão;59;77;2
21-04-2020;Francisco Beltrão;152;251;3
22-04-2020;Francisco Beltrão;86;143;3
23-04-2020;Francisco Beltrão;98;147;1
24-04-2020;Francisco Beltrão;151;185;3
25-04-2020;Francisco Beltrão;51;80;1
26-04-2020;Francisco Beltrão;90;112;2
27-04-2020;Francisco Beltrão;83;105;1
28-04-2020;Francisco Beltrão;159;261;3
29-04-2020;Francisco Beltrão;53;75;1
30-04-2020;Francisco Beltrão;136;208;2
01-05-2020;Francisco Beltrão;138;169;4
02-05-2020;Francisco Beltrão;73;120;1
03-05-2020;Francisco Beltrão;159;205;3
04-05-2020;Francisco Beltrão;171;254;3
05-05-2020;Francisco Beltrão;70;84;1
06-05-2020;Francisco Beltrão;138;172;3
07-05-2020;Francisco Beltrão;83;133;1
08-05-2020;Francisco Beltrão;61;75;1
09-05-2020;Francisco Beltrão;145;198;2
10-05-2020;Francisco Beltrão;158;215;4
11-05-2020;Francisco Beltrão;107;132;2
12-05-2020;Francisco Beltrão;73;94;1
13-05-2020;Francisco Beltrão;137;212;2
14-05-2020;Francisco Beltrão;101;136;1
15-05-2020;Francisco Beltrão;132;188;2
16-05-2020;Francisco Beltrão;94;116;3
17-05-2020;Francisco Beltrão;172;272;4
18-05-2020;Francisco Beltrão;126;174;2
19-05-2020;Francisco Beltrão;62;93;1
20-05-2020;Francisco Beltrão;70;106;2
21-05-2020;Francisco Beltrão;78;101;2
22-05-2020;Francisco Beltrão;49;77;1
23-05-2020;Francisco Beltrão;170;245;5
24-05-2020;Francisco Beltrão;99;165;1
25-05-2020;Francisco Beltrão;152;210;4
26-05-2020;Francisco Beltrão;125;182;3
27-05-2020;Francisco Beltrão;148;205;3
28-05-2020;Francisco Beltrão;119;170;2
29-05-2020;Francisco Beltrão;133;196;3
30-05-2020;Francisco Beltrão;124;182;1
31-05-2020;Francisco Beltrão;79;107;1
01-06-2020;Francisco Beltrão;52;88;1
02-06-2020;Francisco Beltrão;61;88;1
03-06-2020;Francisco Beltrão;53;73;1
04-06-2020;Francisco Beltrão;110;176;1
05-06-2020;Francisco Beltrão;160;237;3
06-06-2020;Francisco Beltrão;130;191;3
07-06-2020;Francisco Beltrão;82;134;2
08-06-2020;Francisco Beltrão;154;198;4
09-06-2020;Francisco Beltrão;104;158;3
10-06-2020;Francisco Beltrão;160;231;3
11-06-2020;Francisco Beltrão;136;183;2
12-06-2020;Francisco Beltrão;148;214;3
13-06-2020;Francisco Beltrão;124;211;3
14-06-2020;Francisco Beltrão;69;84;2
15-06-2020;Francisco Beltrão;90;149;2
16-06-2020;Francisco Beltrão;86;140;2
17-06-2020;Francisco Beltrão;164;249;5
18-06-2020;Francisco Beltrão;83;123;1
19-06-2020;Francisco Beltrão;91;135;3
20-06-2020;Francisco Beltrão;103;160;2
21-06-2020;Francisco Beltrão;152;250;4
22-06-2020;Francisco Beltrão;125;177;2
23-06-2020;Francisco Beltrão;172;289;3
24-06-2020;Francisco Beltrão;79;110;1
25-06-2020;Francisco Beltrão;150;198;3
26-06-2020;Francisco Beltrão;181;249;5
27-06-2020;Francisco Beltrão;139;220;4
28-06-2020;Francisco Beltrão;182;262;4
29-06-2020;Francisco Beltrão;51;84;1
30-06-2020;Francisco Beltrão;87;106;2
01-07-2020;Francisco Beltrão;159;248;4
02-07-2020;Francisco Beltrão;114;174;3
03-07-2020;Francisco Beltrão;142;178;2
04-07-2020;Francisco Beltrão;129;200;3
05-07-2020;Francisco Beltrão;61;89;1
06-07-2020;Francisco Beltrão;54;69;1
07-07-2020;Francisco Beltrão;52;82;1
08-07-2020;Francisco Beltrão;181;274;5
09-07-2020;Francisco Beltrão;131;162;2
10-07-2020;Francisco Beltrão;180;304;5
11-07-2020;Francisco Beltrão;101;125;2
12-07-2020;Francisco Beltrão;110;148;1
13-07-2020;Francisco Beltrão;83;118;1
14-07-2020;Francisco Beltrão;138;221;4
15-07-2020;Francisco Beltrão;49;70;1
16-07-2020;Francisco Beltrão;123;180;2
17-07-2020;Francisco Beltrão;63;103;1
18-07-2020;Francisco Beltrão;63;94;1
19-07-2020;Francisco Beltrão;64;85;1
20-07-2020;Francisco Beltrão;159;255;3
21-07-2020;Francisco Beltrão;151;188;3
22-07-2020;Francisco Beltrão;104;136;2
23-07-2020;Francisco Beltrão;62;88;1
24-07-2020;Francisco Beltrão;49;78;1
25-07-2020;Francisco Beltrão;80;96;1
26-07-2020;Francisco Beltrão;106;155;1
27-07-2020;Francisco Beltrão;84;124;2
28-07-2020;Francisco Beltrão;76;109;2
29-07-2020;Francisco Beltrão;137;231;2
30-07-2020;Francisco Beltrão;100;152;3
31-07-2020;Francisco Beltrão;129;191;2
01-08-2020;Francisco Beltrão;59;78;2
02-08-2020;Francisco Beltrão;78;117;1
03-08-2020;Francisco Beltrão;72;94;2
04-08-2020;Francisco Beltrão;172;221;4
05-08-2020;Francisco Beltrão;180;252;5
06-08-2020;Francisco Beltrão;104;163;2
07-08-2020;Francisco Beltrão;97;150;2
08-08-2020;Francisco Beltrão;94;145;3
09-08-2020;Francisco Beltrão;122;153;3
10-08-2020;Francisco Beltrão;91;142;2
11-08-2020;Francisco Beltrão;158;209;5
12-08-2020;Francisco Beltrão;172;282;3
13-08-2020;Francisco Beltrão;76;109;1
14-08-2020;Francisco Beltrão;176;287;3
15-08-2020;Francisco Beltrão;114;157;3
16-08-2020;Francisco Beltrão;180;236;3
17-08-2020;Francisco Beltrão;86;139;1
18-08-2020;Francisco Beltrão;162;218;2
19-08-2020;Francisco Beltrão;133;202;2
20-08-2020;Francisco Beltrão;182;220;2
21-08-2020;Francisco Beltrão;119;143;3
22-08-2020;Francisco Beltrão;160;226;4
23-08-2020;Francisco Beltrão;134;187;2
24-08-2020;Francisco Beltrão;134;174;1
25-08-2020;Francisco Beltrão;145;186;3
26-08-2020;Francisco Beltrão;104;133;2
27-08-2020;Francisco Beltrão;74;112;2
28-08-2020;Francisco Beltrão;95;127;3
29-08-2020;Francisco Beltrão;130;199;3
30-08-2020;Francisco Beltrão;63;97;1
31-08-2020;Francisco Beltrão;51;69;1
01-09-2020;Francisco Beltrão;124;168;2
02-09-2020;Francisco Beltrão;69;117;1
03-09-2020;Francisco Beltrão;94;120;1
04-09-2020;Francisco Beltrão;127;171;3
